w1,w2,w3
0.3789,0.096607,0.17139
0.39651,0.11213,0.18746
0.35963,0.077521,0.15225
0.34541,0.069934,0.14291
0.37728,0.092336,0.16782
0.35906,0.083208,0.15628
0.38467,0.099835,0.17529
0.41505,0.12926,0.20497
0.45136,0.16282,0.23926
0.36407,0.087035,0.16042
0.38845,0.10417,0.17948
0.36443,0.082815,0.15742
0.37411,0.094727,0.16874
0.3769,0.09592,0.17035
0.39029,0.10608,0.18137
0.37167,0.092095,0.16616
0.35856,0.079642,0.15353
0.33619,0.069441,0.1401
0.35534,0.082415,0.15472
0.39645,0.11131,0.18685
0.35563,0.079231,0.15245
0.34612,0.074022,0.1461
0.34951,0.072014,0.14553
0.3636,0.081676,0.15636
0.39753,0.11226,0.18783
0.39148,0.10818,0.18323
0.38081,0.1012,0.17527
0.36026,0.079277,0.15371
0.35028,0.08179,0.15291
0.42159,0.13358,0.20988
0.3626,0.080701,0.15538
0.40129,0.11513,0.19093
0.37716,0.09281,0.16814
0.39542,0.11,0.18561
0.32557,0.065836,0.13464
0.38603,0.1007,0.17629
0.36486,0.086913,0.16054
0.3991,0.11441,0.18983
0.41335,0.12635,0.20238
